,Restaurants,lat-long
379,ihop dlf cyber city gurgaon,"28.4952107654,77.0889136568"
380,cake hub vasundhara enclave new delhi,"28.5963476433,77.3077399367"
381,greno sweets alpha 2 greater noida,"28.4776366781,77.5171380490"
382,nizams kathi kabab defence colony new delhi,"28.5667643487,77.2337308154"
383,shawarma kings karol bagh new delhi,"28.6432824908,77.1888913214"
384,otik cake shop rajouri garden new delhi,"28.6405592142,77.1203069016"
385,fateh chand kachori civil lines new delhi,"28.6725910000,77.2226420000"
386,surahi the veg kitchen and bar by the rajkamal shahdara new delhi,"28.6608380562,77.2981098667"
387,mamagoto saket new delhi,"28.5286416906,77.2193799913"
388,abb andreas bar and brasserie khan market new delhi,"28.5998152105,77.2265109792"
389,hornbill safdarjung new delhi,"28.5607884123,77.1926997229"
390,abb andreas bar and brasserie khan market new delhi,"28.5998152105,77.2265109792"
391,hornbill safdarjung new delhi,"28.5607884123,77.1926997229"
392,pearl boutique bakery cafe greater kailash gk 2 new delhi,"28.5334783597,77.2421311587"
393,healthy herbs kalkaji new delhi,"28.5432482254,77.2522746027"
